rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 29.7699 	 1447.44 	 65.521 	 1058.96 	 1947 	 56.1667 	 44.3124 	 0.614464 	 0.979376 	 166.024 	 1490.11 	 843.91 	 0.566341 	 503.622 	 1365.53 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3255 	 0.986962 	 222.284 	 177.712 	 185.682 	 117.336 	 0 	 0 	 0 	 34.0864 	 0.183574 	 41.0259 	 -108.482 	 9.74201 	 0.117515 	 82.9004 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
2 	 75.3638 	 2505.11 	 137.361 	 99.2975 	 6366 	 120.529 	 67.3727 	 0.829183 	 0.97713 	 325.362 	 1879.93 	 934.892 	 0.497301 	 842.953 	 1755.35 	 45 	 45 	 299.844 	 78.2268 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 8712 	 0.845825 	 496.208 	 1162.33 	 1065.05 	 996.708 	 0.227766 	 1327.14 	 1023.57 	 593.556 	 0.557301 	 206.266 	 49.7124 	 70.0097 	 0.282137 	 248.141 	 57 	 59 	 106.807 	 8.35247 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 57 	 57 	 57 	 0 	  Tumour 
3 	 91.1399 	 2392.29 	 94.0479 	 114.127 	 5663 	 96.325 	 75.5629 	 0.620182 	 0.95417 	 301.806 	 2575.4 	 1091.73 	 0.423905 	 1464.64 	 2450.82 	 90 	 363 	 324.211 	 102.593 	 2 	 789.333 	 0.139384 	 39.4462 	 39.4462 	 39.4462 	 0 	 45 	 45 	 45 	 0 	 7578 	 0.944299 	 370.61 	 158.801 	 146.461 	 78.1144 	 0.167147 	 184.879 	 144.525 	 166.092 	 1.13404 	 35.7869 	 -4.33978 	 11.0803 	 0.142674 	 77.6613 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
4 	 72.5447 	 1284.82 	 167.61 	 1214.38 	 2137 	 75.7701 	 36.188 	 0.878576 	 0.96435 	 194.995 	 1601.06 	 876.172 	 0.547247 	 676.371 	 1476.47 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3349 	 0.971006 	 242.953 	 195.804 	 191.941 	 123.594 	 0.257919 	 178.316 	 192.974 	 51.9122 	 0.270459 	 41.6487 	 -47.5353 	 8.64497 	 0.103504 	 83.5232 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
5 	 100.698 	 2713.99 	 1268.99 	 68.0147 	 3984 	 78.5121 	 68.6849 	 0.484426 	 0.912297 	 273.664 	 1344.95 	 475.722 	 0.35371 	 224.203 	 1220.37 	 45 	 45 	 195.133 	 -26.4843 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 6287 	 0.930856 	 359.439 	 242.929 	 363.036 	 294.689 	 0.307463 	 877.903 	 262.755 	 338.623 	 0.932753 	 33.7445 	 -64.2477 	 10.6804 	 0.14124 	 75.619 	 135 	 980 	 68.8 	 -29.6545 	 3 	 476.937 	 0.119713 	 59.4643 	 19.0263 	 42.7165 	 18.867 	 45 	 45 	 45 	 0 	  DCIS 
6 	 93.0784 	 1465.11 	 65.521 	 1035.79 	 1849 	 71.943 	 33.5502 	 0.884603 	 0.931956 	 184.853 	 1127.14 	 412.964 	 0.36638 	 7.73021 	 1002.56 	 45 	 45 	 336.756 	 115.138 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 3105 	 0.962194 	 233.255 	 176.467 	 182.586 	 114.24 	 0.259091 	 176.579 	 182.191 	 42.9845 	 0.23542 	 52.6366 	 -23.6054 	 29.1292 	 0.308209 	 94.5111 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
7 	 106.58 	 1262.11 	 200.385 	 1228.28 	 2855 	 84.3559 	 44.0387 	 0.85291 	 0.96355 	 220.066 	 1816.99 	 832.933 	 0.458414 	 626.866 	 1692.41 	 36 	 36 	 259.139 	 37.5212 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 36 	 36 	 36 	 0 	 4107 	 0.908628 	 279.823 	 181.278 	 182.096 	 113.749 	 0.284 	 174.254 	 184.483 	 55.4543 	 0.304533 	 31.3 	 -143.177 	 6.9348 	 0.0947709 	 73.1744 	 45 	 45 	 83.5556 	 -14.899 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  DCIS 
8 	 151.696 	 2669.31 	 57.3847 	 68.0147 	 6738 	 152.968 	 72.1606 	 0.88174 	 0.743298 	 422.777 	 1521.27 	 558.845 	 0.367354 	 416.31 	 1396.69 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 8262 	 0.660643 	 564.066 	 1261.93 	 1811.04 	 1742.69 	 0.497186 	 2375.82 	 1584.69 	 1106.21 	 0.610814 	 169.5 	 76.8768 	 93.0064 	 0.440007 	 211.375 	 135 	 1040 	 90.3852 	 -8.06936 	 3 	 1093.85 	 0.16234 	 84.0536 	 18.868 	 56.6803 	 30.2525 	 45 	 45 	 45 	 0 	  Tumour 
9 	 126.138 	 1475.84 	 100.285 	 1016.16 	 1351 	 50.836 	 35.0259 	 0.724765 	 0.90793 	 150.61 	 1408.44 	 739.843 	 0.525292 	 443.218 	 1283.86 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 1908 	 0.888682 	 194.711 	 199.822 	 187.397 	 119.05 	 0.448276 	 187.654 	 186.715 	 35.0296 	 0.186928 	 39.8287 	 -16.8844 	 10.0579 	 0.123103 	 81.7032 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
10 	 146.73 	 1358.17 	 147.003 	 1125.76 	 1335 	 46.8634 	 36.5509 	 0.625847 	 0.973742 	 140.468 	 1255.02 	 562.316 	 0.448052 	 131.553 	 1130.44 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 2289 	 0.968274 	 190.527 	 171.217 	 179.552 	 111.206 	 0.132597 	 169.333 	 179.719 	 31.4875 	 0.175366 	 43.0477 	 -92.7347 	 10.7162 	 0.126189 	 84.9221 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
