rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
1 	 45.6089 	 1402.1 	 58.3095 	 206.194 	 3738 	 100.664 	 48.3206 	 0.877258 	 0.953571 	 265.966 	 1782.83 	 686.782 	 0.385221 	 616.057 	 1579.88 	 149.013 	 -27.2607 	 50.7724 	 0.176133 	 288.262 	 75 	 75 	 129.347 	 25.3757 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 75 	 75 	 75 	 0 	 43 	 46 	 182.674 	 31.0975 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 43 	 43 	 43 	 0 	 6149 	 0.681481 	 499.103 	 782.73 	 1140.75 	 1062.33 	 0.4375 	 1853.53 	 949.794 	 803.083 	 0.703998 	  Tumour 
2 	 59.2223 	 2157.52 	 75.0067 	 699.083 	 4655 	 92.9985 	 64.0923 	 0.724595 	 0.977325 	 264.35 	 1615.22 	 546.757 	 0.338502 	 697.745 	 1412.28 	 72.5694 	 -20.9948 	 15.9571 	 0.0753337 	 211.819 	 52 	 53 	 106.327 	 2.35591 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 52 	 52 	 52 	 0 	 123 	 165 	 147.049 	 -4.52814 	 2 	 119.92 	 0.0257615 	 11.1634 	 11.1634 	 11.1634 	 0 	 63 	 60 	 61.5 	 2.12132 	 5809 	 0.983909 	 287.279 	 89.6075 	 100.1 	 21.6843 	 0 	 0 	 99.768 	 15.9722 	 0.159562 	  DCIS 
3 	 134.707 	 1267.96 	 104.957 	 200.302 	 12528 	 151.185 	 112.636 	 0.667041 	 0.893198 	 491.955 	 1752.79 	 660.956 	 0.377087 	 940.32 	 1549.85 	 160.252 	 -18.8669 	 68.8847 	 0.229998 	 299.501 	 374 	 5006 	 122.872 	 18.9006 	 6 	 2519.01 	 0.201071 	 124.66 	 19.5336 	 61.8122 	 36.0502 	 80 	 36 	 62.3333 	 19.9466 	 1000 	 3129 	 247.023 	 95.4461 	 6 	 3679.08 	 0.293668 	 68.1223 	 11.0533 	 38.6149 	 14.7649 	 436 	 32 	 125 	 144.568 	 14411 	 0.869127 	 540.156 	 1342.21 	 1610.46 	 1532.04 	 0.138767 	 2987.11 	 1499.64 	 1225.63 	 0.761042 	  Tumour 
4 	 85.3671 	 831.673 	 189.042 	 406.846 	 3607 	 71.1568 	 64.9362 	 0.408901 	 0.979099 	 230.794 	 1635.66 	 722.19 	 0.441529 	 710.831 	 1432.71 	 -4.07785 	 -132.409 	 25.2583 	 0.186861 	 135.172 	 45 	 45 	 89.8222 	 -14.1488 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 179 	 553 	 99.3799 	 -52.197 	 2 	 167.988 	 0.0465728 	 35.0879 	 35.0879 	 35.0879 	 0 	 100 	 79 	 89.5 	 14.8492 	 5621 	 0.939967 	 330.066 	 389.527 	 327.04 	 248.624 	 0 	 0 	 0 	 292.767 	 0.895201 	  DCIS 
5 	 100.488 	 1424.19 	 58.3095 	 150.213 	 9207 	 161.213 	 75.3292 	 0.884117 	 0.907272 	 449.061 	 1279.7 	 369.337 	 0.288613 	 365.642 	 1076.75 	 244.209 	 54.4956 	 30.1132 	 0.0785305 	 383.459 	 237 	 4587 	 131.304 	 27.3328 	 5 	 3118.3 	 0.338688 	 138.028 	 20.3766 	 82.0439 	 44.3569 	 67 	 5 	 47.4 	 25.2052 	 582 	 1329 	 212.036 	 60.4592 	 5 	 2901.51 	 0.315141 	 55.3018 	 12.1126 	 28.204 	 14.277 	 185 	 42 	 116.4 	 57.2521 	 13517 	 0.860955 	 576.115 	 1620.48 	 2173.51 	 2095.1 	 0.591549 	 1861.7 	 2289.8 	 669.096 	 0.307841 	  Tumour 
6 	 102.29 	 1851.32 	 309.997 	 389.134 	 3127 	 67.7915 	 59.6957 	 0.473901 	 0.961858 	 224.167 	 1887.43 	 481.11 	 0.254903 	 787.41 	 1684.48 	 31.0684 	 -41.3255 	 14.1739 	 0.0832203 	 170.318 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 89 	 281 	 127.135 	 -24.4421 	 2 	 435.04 	 0.139124 	 30.3866 	 30.3866 	 30.3866 	 0 	 47 	 42 	 44.5 	 3.53553 	 4015 	 0.970275 	 239.681 	 78.2411 	 72.8458 	 -5.56988 	 0 	 0 	 0 	 6.71342 	 0.0921593 	  DCIS 
7 	 133.543 	 2159.27 	 75.0067 	 638.659 	 2554 	 83.7312 	 40.8646 	 0.872818 	 0.90696 	 245.907 	 980.439 	 326.107 	 0.332614 	 4.29882 	 777.495 	 74.2361 	 -91.9428 	 14.6845 	 0.0687846 	 213.486 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3613 	 0.952293 	 252.936 	 77.8594 	 80.2383 	 1.82264 	 0 	 0 	 79.6799 	 18.355 	 0.228756 	  DCIS 
8 	 140.675 	 2436.35 	 289.841 	 671.015 	 4611 	 87.7291 	 71.9104 	 0.572812 	 0.875617 	 316.291 	 1544.7 	 795.648 	 0.515083 	 744.378 	 1341.76 	 160.031 	 10.7272 	 26.3827 	 0.0881538 	 299.281 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 35 	 36 	 109.2 	 -42.3769 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 35 	 35 	 35 	 0 	 5652 	 0.888679 	 318.451 	 76.5462 	 75.9184 	 -2.49723 	 0.152482 	 82.5116 	 75.1977 	 8.91301 	 0.117402 	  DCIS 
9 	 153.949 	 656.097 	 1505 	 562.499 	 5026 	 99.936 	 67.1166 	 0.740918 	 0.920513 	 309.948 	 1832.72 	 1077.43 	 0.587885 	 1329.85 	 1629.77 	 87.5237 	 19.7908 	 45.19 	 0.199274 	 226.773 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 7158 	 0.918634 	 398.652 	 161.426 	 212.549 	 134.133 	 0 	 0 	 0 	 346.129 	 1.62847 	  DCIS 
10 	 164.515 	 1466.79 	 135.595 	 91.9239 	 3747 	 86.1198 	 56.0682 	 0.759036 	 0.962992 	 244.794 	 1238.65 	 333.847 	 0.269526 	 48.0822 	 1035.7 	 196.496 	 -24.2641 	 36.6513 	 0.109164 	 335.745 	 196 	 715 	 111.883 	 7.91164 	 4 	 1598.75 	 0.426675 	 33.9226 	 8.99579 	 22.4746 	 10.5652 	 55 	 45 	 49 	 4.89898 	 227 	 750 	 152.295 	 0.718231 	 4 	 1420.01 	 0.378972 	 43.4478 	 11.6109 	 26.283 	 13.2909 	 85 	 31 	 56.75 	 24.0052 	 5856 	 0.92206 	 338.635 	 1493.26 	 2357.26 	 2278.85 	 0.591065 	 2231.84 	 2396.43 	 643.226 	 0.27287 	  Tumour 
